ds,CO(GT),NO2(GT),NOx(GT),C6H6(GT),Predicted_AQI
2004-03-10 18:00:00,3.66096079898784,136.13247058832667,254.12617407298058,17.89499192561521,378.05405
2004-03-10 19:00:00,3.7972175813831677,138.26184708956595,265.49130448108014,18.409818079942475,385.36502
2004-03-10 20:00:00,3.5477923865705523,133.92545019297145,249.43929456236904,16.56123977553169,365.3168
2004-03-10 21:00:00,3.0167583056926763,123.42784066907328,206.66145092672718,13.22529867343,330.19867
2004-03-10 22:00:00,2.4787234227531427,110.82449044491467,156.47803916861295,10.257811641737987,300.53156
2004-03-10 23:00:00,2.1664745630006066,101.4395299194889,123.88460198316646,8.922897007338518,279.12943
2004-03-11 00:00:00,2.0932448726502493,97.77988641795861,119.21035090879232,8.831943117352473,275.32654
2004-03-11 01:00:00,2.0710952794449278,97.47317389825832,129.22275404448268,8.440146032260206,268.39117
2004-03-11 02:00:00,1.909682742701968,95.44371696270164,129.4621053717022,6.6797874085785,227.89577
2004-03-11 03:00:00,1.6121259821593186,88.75065962332931,107.86818372003827,4.187722539914852,168.58926
2004-03-11 04:00:00,1.3865846200781584,79.85087170480418,78.1542973136738,2.9202092103913246,125.108025
2004-03-11 05:00:00,1.463182053506102,75.17975914363572,69.7380159558335,4.453020565688019,180.5318
2004-03-11 06:00:00,1.8847001995880133,80.02004758111195,102.25902037824068,8.510013433544218,269.3959
2004-03-11 07:00:00,2.4589135066063053,93.97131172127018,167.08674442804704,13.060526586768855,329.81403
2004-03-11 08:00:00,2.9072493259292678,110.86304221360011,232.18715383170246,15.878004721544746,357.48685
2004-03-11 09:00:00,3.0683533944717154,123.10675376725062,265.9073262165406,16.14643070569467,361.7145
2004-03-11 10:00:00,2.9807264886403857,126.7815140807638,259.0309031382232,14.754927759252082,347.47058
2004-03-11 11:00:00,2.7974649218180736,123.46390950813289,227.43210630639112,13.215527606984018,330.76962
2004-03-11 12:00:00,2.6429977618156726,117.94743994244219,195.97111540412342,12.378038308307046,324.8808
2004-03-11 13:00:00,2.553947597369377,114.44774585498689,180.0583217198055,12.125782792694324,319.90808
2004-03-11 14:00:00,2.534638480719383,114.54977001206231,180.32987641865566,12.105605060193003,319.90808
2004-03-11 15:00:00,2.628676127059198,117.82315261731294,190.9009921077164,12.483276979094848,325.56897
2004-03-11 16:00:00,2.898715723897036,123.36399542398995,208.70354958757707,13.797614526473321,336.639
2004-03-11 17:00:00,3.3232298483702842,130.18132717478284,233.1102523604327,16.073567480042506,362.43307
2004-03-11 18:00:00,3.73229564347445,136.3516475013395,258.20669306731236,18.262398189167925,381.60995
2004-03-11 19:00:00,3.885429531934153,138.74809785217326,269.70317121467974,18.815092691862308,389.9594
2004-03-11 20:00:00,3.6525744699801828,134.6891141843841,253.8022526057971,17.000953867262584,368.8775
2004-03-11 21:00:00,3.137601317377054,124.47585729181418,211.19022869492036,13.69568910899599,336.6301
2004-03-11 22:00:00,2.6149144477765685,112.16011030765566,161.1814112309678,10.75477588808188,307.63962
2004-03-11 23:00:00,2.317097494099013,103.06205830496101,128.76449218505732,9.441988613476052,287.83823
2004-03-12 00:00:00,2.2571829711048412,99.68446362988348,124.26099360235548,9.368368236646003,285.28815
2004-03-12 01:00:00,2.2470358022967574,99.65059670543695,134.42992920841272,8.988761428953087,278.9523
2004-03-12 02:00:00,2.096123637252445,97.88030492554336,134.80246267901833,7.2351003928517805,244.10793
2004-03-12 03:00:00,1.807384625618834,91.42816959521254,113.30866965403958,4.7438932692960085,189.0705
2004-03-12 04:00:00,1.5888085592994299,82.74646326476922,83.65169829228495,3.471055781858537,141.10268
2004-03-12 05:00:00,1.6703616767820266,78.26601312911919,75.23862906200227,4.992027300557149,198.4237
2004-03-12 06:00:00,2.0946832499989414,83.26503926434697,107.69846174947003,9.030342726859846,279.27628
2004-03-12 07:00:00,2.669421324899619,97.33873952591675,172.38990368406937,13.55503465668877,335.1375
2004-03-12 08:00:00,3.115894690144454,114.31241219104115,237.26830107282154,16.339261549322327,365.87802
2004-03-12 09:00:00,3.272659804065469,126.59361936358329,270.6703761673158,16.566744405530436,365.29025
2004-03-12 10:00:00,3.1781487230330465,130.25777003491933,263.3698389770961,15.126373561472617,350.33768
2004-03-12 11:00:00,2.9854106870298636,126.87813803153561,231.23156360478413,13.529981575633455,335.66028
2004-03-12 12:00:00,2.8188502246047973,121.2453066555507,199.10712445112694,12.627215847813837,327.4339
2004-03-12 13:00:00,2.7150885940580785,117.57244229868208,182.39920434147407,12.301281928674976,324.14114
2004-03-12 14:00:00,2.67847217799372,117.44249892672495,181.73729125680023,12.19895440687693,319.90808
2004-03-12 15:00:00,2.7526529045782,120.42365159659505,191.2311202309505,12.485988232108966,325.40717
2004-03-12 16:00:00,3.0003560433602656,125.6110940016655,207.8084102587745,13.701239244459515,336.639
2004-03-12 17:00:00,3.400147871331816,132.01353191501377,230.83913686569468,15.869757844794023,357.06433
